method,cophenetic_correlation,k,silhouette
average,0.5329954325280312,2,0.015476829999232099
average,0.5329954325280312,3,0.015223900266240563
average,0.5329954325280312,4,0.012250423170539187
average,0.5329954325280312,5,0.009909341486003273
average,0.5329954325280312,6,0.008441124542508933
average,0.5329954325280312,7,0.0076198905486866645
average,0.5329954325280312,8,0.006576825049242787
complete,0.36424136007191626,2,nan
complete,0.36424136007191626,3,nan
complete,0.36424136007191626,4,nan
complete,0.36424136007191626,5,nan
complete,0.36424136007191626,6,nan
complete,0.36424136007191626,7,nan
complete,0.36424136007191626,8,nan
ward,0.6694388861104126,2,0.4604775930166935
ward,0.6694388861104126,3,0.32943977769551885
ward,0.6694388861104126,4,0.3365519714000977
ward,0.6694388861104126,5,0.3136115964094759
ward,0.6694388861104126,6,0.29951548088642027
ward,0.6694388861104126,7,0.30508702946779015
ward,0.6694388861104126,8,0.29466534092326757
